Iref,iL
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
